Parish,Town,Church Name,Classification,Status,Photo Count,No Photos,Slug,Latitude,Longitude
St. Catherine,Kentish,St. Paul's,church,active,0,YES,st-paul-s-kentish-st-catherine,18.09127,-77.16023
St. Catherine,Linstead,Church of the Holy Trinity,church,active,1,,church-of-the-holy-trinity-linstead-st-catherine,18.1234,-77.0212
St. Catherine,Linstead,St. John's Church,church,active,0,YES,st-john-s-church-linstead-st-catherine,18.13456,-77.03264
St. Catherine,Lluidas Vale,St. Peter's,church,inactive,6,,st-peter-s-lluidas-vale-st-catherine,18.2212,-77.1823
St. Catherine,Macca Tree,St. Mark's,church,active,0,YES,st-mark-s-macca-tree-st-catherine,18.1512,-77.0512
St. Catherine,Marley Hill,St. Andrew's,church,active,2,,st-andrew-s-marley-hill-st-catherine,18.1212,-76.9512
St. Catherine,Morris Hall,St. Phillip's,church,active,1,,st-phillip-s-morris-hall-st-catherine,18.0823,-77.0512
St. Catherine,Mount Industry,St. Boniface,church,active,0,YES,st-boniface-mount-industry-st-catherine,18.0923,-76.9412
St. Catherine,Mount Moreland,St. Matthew's,church,active,0,YES,st-matthew-s-mt-moorland-st-catherine,18.0312,-76.9923
St. Catherine,Old Harbour,Holy Trinity,church,inactive,0,YES,holy-trinity-old-harbour-st-catherine,17.939424,-77.113108
St. Catherine,Old Harbour,St. Dorothy's Church,church,active,5,,st-dorothy-s-church-old-harbour-st-catherine,17.942162,-77.089092
St. Catherine,Old Harbour Bay,St. Philip's,church,active,1,,st-philip-s-old-harbour-bay-st-catherine,17.907396,-77.096637
St. Catherine,Old Works,St. Peter's,church,active,0,YES,st-peter-s-old-works-st-catherine,18.0712,-76.9712
St. Catherine,Point Hill,St. George's,church,active,1,,st-george-s-point-hill-st-catherine,18.0712,-77.0712
St. Catherine,Portmore,Church of Reconciliation,church,active,1,,church-of-reconciliation-portmore-st-catherine,17.95778652760367,-76.88129636231977
St. Catherine,Sligoville,St. John's,church,active,4,,st-john-s-sligoville-st-catherine,18.0876,-76.9419
